fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,y_curFix_f
3,3,1445,3303,0,529.875183105469,511.155181884766,20912789,20913503,-2.97950828538835,8.75517050014114,14.6225098929059,-14.7141870709178,-3.33300423622131,9.10583209991455
1,4,1446,3304,0,666.773376464844,666.079956054688,20919441,20919972,-8.84684767815309,8.75517050014114,14.7141870709178,-2.8878311073764,-0.317145615816116,-0.0824047327041626
2,4,1446,3304,0,867.027221679688,836.987426757813,20920062,20920630,-8.84684767815309,8.75517050014114,14.7141870709178,-2.8878311073764,18.0006198883057,-0.633174180984497
3,4,1446,3304,0,234.521347045898,245.374145507813,20920714,20920835,-8.84684767815309,8.75517050014114,14.7141870709178,-2.8878311073764,-7.31856107711792,4.24777793884277
4,4,1446,3304,0,365.694396972656,406.70703125,20920900,20921455,-8.84684767815309,8.75517050014114,14.7141870709178,-2.8878311073764,-10.2569227218628,9.00409698486328
1,2,1447,3305,0,676.934875488281,761.952880859375,20928484,20928548,-20.5815264636826,-8.84684767815309,-14.7141870709178,14.6225098929059,-0.0502726621925831,0.0873510465025902
2,2,1447,3305,0,1004.56359863281,1000.63134765625,20931046,20931321,-20.5815264636826,-8.84684767815309,-14.7141870709178,14.6225098929059,-4.66254949569702,3.71253418922424
1,2,1448,3316,0,150.970825195313,129.402114868164,20989684,20990107,14.6225098929059,14.6225098929059,-8.84684767815309,8.75517050014114,0.343847990036011,-0.169492527842522
2,2,1448,3316,0,458.458526611328,564.628051757813,20991366,20991678,14.6225098929059,14.6225098929059,-8.84684767815309,8.75517050014114,-13.0410718917847,-12.1477737426758
1,7,1449,3324,0,617.170654296875,600.417602539063,21028535,21028839,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,-0.160004496574402,-0.48276948928833
2,7,1449,3324,0,1058.23791503906,978.9990234375,21028921,21029547,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,15.3816375732422,5.30565309524536
3,7,1449,3324,0,766.382995605469,682.269348144531,21030565,21030927,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,-2.14904427528381,5.76525115966797
4,7,1449,3324,1,70.830810546875,76.9163513183594,21031002,21031180,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,17.6566963195801,4.51912784576416
5,7,1449,3324,0,767.514709472656,750.836242675781,21031219,21031687,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,15.3764009475708,4.31739854812622
6,7,1449,3324,0,506.353607177734,507.634613037109,21031766,21032023,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,-3.83458018302917,15.6551971435547
7,7,1449,3324,0,863.396118164063,858.331115722656,21032098,21032511,14.6225098929059,2.8878311073764,-20.5815264636826,-14.7141870709178,-17.3770694732666,11.1119470596313
1,4,1450,3326,0,521.779235839844,506.895141601563,21040923,21041136,2.8878311073764,14.6225098929059,20.4898492856706,2.8878311073764,0.171898245811462,0.689537227153778
2,4,1450,3326,1,75.7183227539063,79.7031707763672,21041214,21041493,2.8878311073764,14.6225098929059,20.4898492856706,2.8878311073764,0.745024859905243,14.178412437439
3,4,1450,3326,0,748.109558105469,820.002380371094,21041535,21041979,2.8878311073764,14.6225098929059,20.4898492856706,2.8878311073764,1.9755574464798,16.3931789398193
4,4,1450,3326,0,241.991363525391,263.336730957031,21042119,21042428,2.8878311073764,14.6225098929059,20.4898492856706,2.8878311073764,-8.870530128479,-7.03854560852051
1,5,1451,3327,0,402.709167480469,375.327819824219,21047695,21047880,-2.97950828538835,14.6225098929059,-8.84684767815309,-14.7141870709178,-0.228271767497063,-0.131866499781609
2,5,1451,3327,0,454.334442138672,415.813690185547,21047936,21048131,-2.97950828538835,14.6225098929059,-8.84684767815309,-14.7141870709178,-9.37421131134033,4.75475168228149
3,5,1451,3327,0,900.343688964844,842.575744628906,21048190,21048517,-2.97950828538835,14.6225098929059,-8.84684767815309,-14.7141870709178,-4.28667783737183,15.208722114563
4,5,1451,3327,0,227.742523193359,200.466705322266,21048591,21048763,-2.97950828538835,14.6225098929059,-8.84684767815309,-14.7141870709178,-8.27152538299561,-9.63374996185303
5,5,1451,3327,0,999.658325195313,918.679870605469,21049866,21050250,-2.97950828538835,14.6225098929059,-8.84684767815309,-14.7141870709178,-7.03413057327271,-1.71837794780731
1,3,1452,3328,0,405.229370117188,385.581909179688,21055419,21055624,2.8878311073764,-14.7141870709178,-8.84684767815309,2.8878311073764,1.09099507331848,0.203647091984749
2,3,1452,3328,0,82.3142929077148,77.9843978881836,21055695,21055908,2.8878311073764,-14.7141870709178,-8.84684767815309,2.8878311073764,-8.97536277770996,4.48280429840088
3,3,1452,3328,0,292.896331787109,293.664306640625,21055940,21056416,2.8878311073764,-14.7141870709178,-8.84684767815309,2.8878311073764,-9.12202167510986,2.74804019927979
1,8,1453,3331,0,422.716552734375,406.676849365234,21073352,21073568,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,0.970965683460236,0.700969398021698
